county_name,date,county,state,fips,cases,deaths,county_name
"Orange, New York",2020-04-21,Orange,New York,36071.0,6576,181,"Orange, New York"
"Fairfield, Connecticut",2020-04-21,Fairfield,Connecticut,9001.0,8472,544,"Fairfield, Connecticut"
"Suffolk, Massachusetts",2020-04-21,Suffolk,Massachusetts,25025.0,8669,285,"Suffolk, Massachusetts"
"Middlesex, New Jersey",2020-04-21,Middlesex,New Jersey,34023.0,8767,360,"Middlesex, New Jersey"
"Passaic, New Jersey",2020-04-21,Passaic,New Jersey,34031.0,8941,294,"Passaic, New Jersey"
"Rockland, New York",2020-04-21,Rockland,New York,36087.0,9568,297,"Rockland, New York"
"Middlesex, Massachusetts",2020-04-21,Middlesex,Massachusetts,25017.0,9621,428,"Middlesex, Massachusetts"
"Philadelphia, Pennsylvania",2020-04-21,Philadelphia,Pennsylvania,42101.0,10028,394,"Philadelphia, Pennsylvania"
"Miami-Dade, Florida",2020-04-21,Miami-Dade,Florida,12086.0,10055,233,"Miami-Dade, Florida"
"Union, New Jersey",2020-04-21,Union,New Jersey,34039.0,10289,427,"Union, New Jersey"
"Essex, New Jersey",2020-04-21,Essex,New Jersey,34013.0,11128,849,"Essex, New Jersey"
"Hudson, New Jersey",2020-04-21,Hudson,New Jersey,34017.0,11636,525,"Hudson, New Jersey"
"Bergen, New Jersey",2020-04-21,Bergen,New Jersey,34003.0,13356,835,"Bergen, New Jersey"
"Wayne, Michigan",2020-04-21,Wayne,Michigan,26163.0,14255,1278,"Wayne, Michigan"
"Los Angeles, California",2020-04-21,Los Angeles,California,6037.0,15140,663,"Los Angeles, California"
"Cook, Illinois",2020-04-21,Cook,Illinois,17031.0,23181,1002,"Cook, Illinois"
"Westchester, New York",2020-04-21,Westchester,New York,36119.0,24655,904,"Westchester, New York"
"Suffolk, New York",2020-04-21,Suffolk,New York,36103.0,28154,918,"Suffolk, New York"
"Nassau, New York",2020-04-21,Nassau,New York,36059.0,31079,1717,"Nassau, New York"
"New York City, New York",2020-04-21,New York City,New York,,139335,10301,"New York City, New York"
