date,date,cases,daily_cases
2020-01-21,2020-01-21,1,1.0
2020-01-22,2020-01-22,1,0.0
2020-01-23,2020-01-23,1,0.0
2020-01-24,2020-01-24,2,1.0
2020-01-25,2020-01-25,3,1.0
2020-01-26,2020-01-26,5,2.0
2020-01-27,2020-01-27,5,0.0
2020-01-28,2020-01-28,5,0.0
2020-01-29,2020-01-29,5,0.0
2020-01-30,2020-01-30,6,1.0
2020-01-31,2020-01-31,7,1.0
2020-02-01,2020-02-01,8,1.0
2020-02-02,2020-02-02,11,3.0
2020-02-03,2020-02-03,11,0.0
2020-02-04,2020-02-04,11,0.0
2020-02-05,2020-02-05,12,1.0
2020-02-06,2020-02-06,12,0.0
2020-02-07,2020-02-07,12,0.0
2020-02-08,2020-02-08,12,0.0
2020-02-09,2020-02-09,12,0.0
2020-02-10,2020-02-10,13,1.0
2020-02-11,2020-02-11,13,0.0
2020-02-12,2020-02-12,14,1.0
2020-02-13,2020-02-13,15,1.0
2020-02-14,2020-02-14,15,0.0
2020-02-15,2020-02-15,15,0.0
2020-02-16,2020-02-16,15,0.0
2020-02-17,2020-02-17,25,10.0
2020-02-18,2020-02-18,25,0.0
2020-02-19,2020-02-19,25,0.0
2020-02-20,2020-02-20,27,2.0
2020-02-21,2020-02-21,30,3.0
2020-02-22,2020-02-22,30,0.0
2020-02-23,2020-02-23,30,0.0
2020-02-24,2020-02-24,43,13.0
2020-02-25,2020-02-25,45,2.0
2020-02-26,2020-02-26,60,15.0
2020-02-27,2020-02-27,60,0.0
2020-02-28,2020-02-28,65,5.0
2020-02-29,2020-02-29,70,5.0
2020-03-01,2020-03-01,86,16.0
2020-03-02,2020-03-02,102,16.0
2020-03-03,2020-03-03,123,21.0
2020-03-04,2020-03-04,159,36.0
2020-03-05,2020-03-05,226,67.0
2020-03-06,2020-03-06,308,82.0
2020-03-07,2020-03-07,425,117.0
2020-03-08,2020-03-08,544,119.0
2020-03-09,2020-03-09,745,201.0
2020-03-10,2020-03-10,1013,268.0
2020-03-11,2020-03-11,1258,245.0
2020-03-12,2020-03-12,1662,404.0
2020-03-13,2020-03-13,2200,538.0
2020-03-14,2020-03-14,2872,672.0
2020-03-15,2020-03-15,3570,698.0
2020-03-16,2020-03-16,4473,903.0
2020-03-17,2020-03-17,5867,1394.0
2020-03-18,2020-03-18,8286,2419.0
2020-03-19,2020-03-19,12292,4006.0
2020-03-20,2020-03-20,17852,5560.0
2020-03-21,2020-03-21,24140,6288.0
2020-03-22,2020-03-22,32503,8363.0
2020-03-23,2020-03-23,42401,9898.0
2020-03-24,2020-03-24,52632,10231.0
2020-03-25,2020-03-25,66857,14225.0
2020-03-26,2020-03-26,82858,16001.0
2020-03-27,2020-03-27,99451,16593.0
2020-03-28,2020-03-28,119660,20209.0
2020-03-29,2020-03-29,137191,17531.0
2020-03-30,2020-03-30,157867,20676.0
2020-03-31,2020-03-31,182426,24559.0
2020-04-01,2020-04-01,207736,25310.0
2020-04-02,2020-04-02,236701,28965.0
2020-04-03,2020-04-03,269349,32648.0
2020-04-04,2020-04-04,304592,35243.0
2020-04-05,2020-04-05,329963,25371.0
2020-04-06,2020-04-06,357169,27206.0
2020-04-07,2020-04-07,392068,34899.0
2020-04-08,2020-04-08,423566,31498.0
2020-04-09,2020-04-09,457854,34288.0
2020-04-10,2020-04-10,490998,33144.0
2020-04-11,2020-04-11,521856,30858.0
2020-04-12,2020-04-12,548541,26685.0
2020-04-13,2020-04-13,573983,25442.0
2020-04-14,2020-04-14,600732,26749.0
2020-04-15,2020-04-15,630862,30130.0
2020-04-16,2020-04-16,662294,31432.0
2020-04-17,2020-04-17,693678,31384.0
2020-04-18,2020-04-18,721808,28130.0
2020-04-19,2020-04-19,747262,25454.0
2020-04-20,2020-04-20,773989,26727.0
2020-04-21,2020-04-21,799200,25211.0
2020-04-22,2020-04-22,826757,27557.0
2020-04-23,2020-04-23,859916,33159.0
