date,date,cases,daily_cases
2020-01-21,2020-01-21,1,1.0
2020-01-22,2020-01-22,1,0.0
2020-01-23,2020-01-23,1,0.0
2020-01-24,2020-01-24,2,1.0
2020-01-25,2020-01-25,3,1.0
2020-01-26,2020-01-26,5,2.0
2020-01-27,2020-01-27,5,0.0
2020-01-28,2020-01-28,5,0.0
2020-01-29,2020-01-29,5,0.0
2020-01-30,2020-01-30,6,1.0
2020-01-31,2020-01-31,7,1.0
2020-02-01,2020-02-01,8,1.0
2020-02-02,2020-02-02,11,3.0
2020-02-03,2020-02-03,11,0.0
2020-02-04,2020-02-04,11,0.0
2020-02-05,2020-02-05,12,1.0
2020-02-06,2020-02-06,12,0.0
2020-02-07,2020-02-07,12,0.0
2020-02-08,2020-02-08,12,0.0
2020-02-09,2020-02-09,12,0.0
2020-02-10,2020-02-10,13,1.0
2020-02-11,2020-02-11,13,0.0
2020-02-12,2020-02-12,14,1.0
2020-02-13,2020-02-13,15,1.0
2020-02-14,2020-02-14,15,0.0
2020-02-15,2020-02-15,15,0.0
2020-02-16,2020-02-16,15,0.0
2020-02-17,2020-02-17,25,10.0
2020-02-18,2020-02-18,25,0.0
2020-02-19,2020-02-19,25,0.0
2020-02-20,2020-02-20,27,2.0
2020-02-21,2020-02-21,30,3.0
2020-02-22,2020-02-22,30,0.0
2020-02-23,2020-02-23,30,0.0
2020-02-24,2020-02-24,43,13.0
2020-02-25,2020-02-25,45,2.0
2020-02-26,2020-02-26,60,15.0
2020-02-27,2020-02-27,60,0.0
2020-02-28,2020-02-28,65,5.0
2020-02-29,2020-02-29,70,5.0
2020-03-01,2020-03-01,86,16.0
2020-03-02,2020-03-02,102,16.0
2020-03-03,2020-03-03,123,21.0
2020-03-04,2020-03-04,159,36.0
2020-03-05,2020-03-05,226,67.0
2020-03-06,2020-03-06,308,82.0
2020-03-07,2020-03-07,425,117.0
2020-03-08,2020-03-08,544,119.0
2020-03-09,2020-03-09,745,201.0
2020-03-10,2020-03-10,1013,268.0
2020-03-11,2020-03-11,1258,245.0
2020-03-12,2020-03-12,1662,404.0
2020-03-13,2020-03-13,2200,538.0
2020-03-14,2020-03-14,2872,672.0
2020-03-15,2020-03-15,3570,698.0
2020-03-16,2020-03-16,4473,903.0
2020-03-17,2020-03-17,5867,1394.0
2020-03-18,2020-03-18,8286,2419.0
2020-03-19,2020-03-19,12321,4035.0
2020-03-20,2020-03-20,17858,5537.0
2020-03-21,2020-03-21,24161,6303.0
2020-03-22,2020-03-22,32521,8360.0
2020-03-23,2020-03-23,42423,9902.0
2020-03-24,2020-03-24,52678,10255.0
2020-03-25,2020-03-25,66905,14227.0
2020-03-26,2020-03-26,82894,15989.0
2020-03-27,2020-03-27,99488,16594.0
2020-03-28,2020-03-28,119698,20210.0
2020-03-29,2020-03-29,137191,17493.0
2020-03-30,2020-03-30,157961,20770.0
2020-03-31,2020-03-31,182426,24465.0
2020-04-01,2020-04-01,207736,25310.0
2020-04-02,2020-04-02,236701,28965.0
2020-04-03,2020-04-03,269349,32648.0
2020-04-04,2020-04-04,304592,35243.0
2020-04-05,2020-04-05,329966,25374.0
2020-04-06,2020-04-06,357180,27214.0
2020-04-07,2020-04-07,392074,34894.0
2020-04-08,2020-04-08,423569,31495.0
2020-04-09,2020-04-09,457854,34285.0
